,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,rt.sulfur.dioxide
3161,6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,6,2.449489743
3853,5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,6,6.164414003
4835,5.9,0.37,0.3,1.5,0.033,35,95,0.98986,3.36,0.56,12,7,5.916079783
1259,6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,6,8.062257748
2992,6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,7,6.708203932
2119,6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,6,4.242640687
4491,5.8,0.3,0.33,3.5,0.033,25,116,0.99057,3.2,0.44,11.7,6,5
2348,7.5,0.23,0.29,2.6,0.031,24,98,0.99194,3,0.54,10.9,6,4.898979486
4605,6.8,0.38,0.29,9.9,0.037,40,146,0.99326,3.11,0.37,11.5,6,6.32455532
4113,6,0.2,0.25,2,0.041,30,95,0.99078,3.27,0.56,11.1,6,5.477225575
2708,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5,6.557438524
4156,6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,5,7.071067812
422,7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6,6.08276253
2132,7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6,7
850,6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6,5.477225575
843,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,5.916079783
34,6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6,6.557438524
4477,6,0.2,0.38,1.3,0.034,37,104,0.98865,3.11,0.52,12.7,6,6.08276253
1236,7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,5,6.782329983
2953,6.1,0.27,0.25,1.8,0.041,9,109,0.9929,3.08,0.54,9,5,3
172,7.9,0.19,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,6,4.123105626
3739,5.6,0.26,0.18,1.4,0.034,18,135,0.99174,3.32,0.35,10.2,6,4.242640687
2553,6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5,2.828427125
3146,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,6.08276253
411,7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6,6.480740698
2250,6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5,6.708203932
1174,7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5,5.567764363
4067,7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,6,7.745966692
4077,7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4,5,5.744562647
3066,7,0.15,0.38,15.3,0.045,54,120,0.9975,3.18,0.42,9.8,6,7.348469228
1848,7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5,6.633249581
1573,6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,6,7.071067812
1911,6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5,7.348469228
4015,6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6,7.483314774
2801,6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,5,7.810249676
4055,7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,7,5.744562647
2478,6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7,4.123105626
624,7.2,0.24,0.34,1.1,0.045,3,64,0.9913,3.23,0.51,11.4,5,1.732050808
1815,8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7,5.567764363
3488,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6,6
3385,6.8,0.23,0.3,6.95,0.044,42,179,0.9946,3.25,0.56,10.6,6,6.480740698
1735,6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,6,7.071067812
4082,5.7,0.25,0.26,12.5,0.049,52.5,106,0.99691,3.08,0.45,9.4,6,7.245688373
3733,7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5,3.31662479
1131,6.9,0.2,0.28,1.2,0.048,36,159,0.9936,3.19,0.43,9.1,6,6
3355,5.9,0.2,0.28,12.8,0.038,29,132,0.99426,3.31,0.57,11.8,7,5.385164807
2406,6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,5,7.681145748
1032,6.2,0.34,0.29,7.6,0.047,45,232,0.9955,3.35,0.62,10,6,6.708203932
3347,6.7,0.18,0.24,10.3,0.057,64,185,0.99519,3.12,0.5,10.6,6,8
4060,6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,6,5.656854249
912,6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,5,4.69041576
2115,7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,6,7.681145748
93,6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7,6.8556546
1634,7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11,7,3.872983346
492,7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7,7,3.464101615
793,6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5,5.830951895
3474,6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8,6.08276253
573,6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5,6.633249581
2858,6.6,0.29,0.31,3.9,0.027,39,96,0.99035,3.24,0.6,12.6,8,6.244997998
4657,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.96666667,7,7.416198487
3497,6,0.24,0.28,3.95,0.038,61,134,0.99146,3.3,0.54,11.3,7,7.810249676
1948,5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5,7.810249676
964,6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6,4.795831523
3548,7.3,0.2,0.29,19.9,0.039,69,237,1.00037,3.1,0.48,9.2,6,8.306623863
4303,7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10,6,5
4546,6.3,0.25,0.53,1.8,0.021,41,101,0.989315,3.19,0.31,13,6,6.403124237
3996,8,0.37,0.31,4.7,0.038,3,127,0.99186,2.9,0.72,12.1,5,1.732050808
4686,7.2,0.26,0.32,10.4,0.062,23,114,0.9966,3.23,0.49,10.5,5,4.795831523
194,6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5,5.830951895
3209,6.8,0.25,0.24,1.6,0.045,39,164,0.99402,3.53,0.58,10.8,5,6.244997998
504,6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,5,2.828427125
273,5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3,5,6.633249581
2508,7.1,0.34,0.31,5.2,0.032,36,140,0.99166,3.35,0.47,12.3,7,6
456,6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,4.898979486
1392,6.2,0.16,0.47,1.4,0.029,23,81,0.99,3.26,0.42,12.2,6,4.795831523
3787,7.4,0.29,0.48,12.8,0.037,61.5,182,0.99808,3.02,0.34,8.8,5,7.842193571
2263,8.5,0.25,0.31,2.8,0.032,11,61,0.99189,3.06,0.44,11.5,6,3.31662479
3676,5.6,0.25,0.19,2.4,0.049,42,166,0.992,3.25,0.43,10.4,6,6.480740698
4403,6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,6,6.32455532
4397,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5,7.416198487
661,7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5,3.464101615
284,6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3,5,7.141428429
2787,8,0.3,0.36,11,0.034,8,70,0.99354,3.05,0.41,12.2,6,2.828427125
2242,7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5,6.92820323
668,7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6,7
1819,6,0.26,0.29,1,0.032,27,96,0.9896,3.38,0.44,12.3,6,5.196152423
963,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6,6.164414003
3826,6.7,0.46,0.21,4,0.034,12,88,0.99016,3.26,0.54,13,6,3.464101615
2949,6.8,0.26,0.48,6.2,0.049,55,182,0.99582,3.21,0.45,9.4,6,7.416198487
3917,7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6,7
4147,7.1,0.13,0.29,15.5,0.064,56,115.5,0.99737,3.16,0.41,9.7,7,7.483314774
1865,7.1,0.25,0.3,2.4,0.042,25,122,0.994,3.43,0.61,10.5,6,5
380,6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7,3.464101615
1093,7.1,0.21,0.4,1.2,0.069,24,156,0.9928,3.42,0.43,10.6,6,4.898979486
4896,6.5,0.24,0.19,1.2,0.041,30,111,0.99254,2.99,0.46,9.4,6,5.477225575
1766,6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5,7.483314774
4839,5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,6,5.291502622
1241,7.9,0.14,0.28,1.8,0.041,44,178,0.9954,3.45,0.43,9.2,6,6.633249581
4171,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7,5.744562647
104,7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5,6.633249581
2936,7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4,4,1.732050808
3296,6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,5,7.681145748
4670,5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5,5,3.464101615
3879,6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4,5,7.615773106
4146,6.8,0.26,0.29,11.9,0.052,54,160,0.99546,3.03,0.58,10.4,6,7.348469228
263,6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,5,3.872983346
3919,6.4,0.35,0.28,1.6,0.037,31,113,0.98779,3.12,0.4,14.2,7,5.567764363
3769,6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6,7.280109889
910,7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5,6.782329983
3644,6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,6,6.480740698
1491,5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,6,5.291502622
2296,7.5,0.42,0.19,6.9,0.041,62,150,0.99508,3.23,0.37,10,6,7.874007874
2823,6.5,0.2,0.24,9.2,0.044,25,150,0.99502,3.22,0.44,10.5,5,5
4357,6.2,0.29,0.29,5.6,0.046,35,178,0.99313,3.25,0.51,10.53333333,5,5.916079783
4813,5.1,0.26,0.33,1.1,0.027,46,113,0.98946,3.35,0.43,11.4,7,6.782329983
1077,7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,6,6.480740698
3395,6.5,0.25,0.45,7.8,0.048,52,188,0.99576,3.2,0.53,9.1,5,7.211102551
4149,6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6,2.828427125
1443,8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,5,5.196152423
164,7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,6.92820323
3900,6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,5,6.8556546
582,5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,5,5
360,6.9,0.24,0.34,4.7,0.04,43,161,0.9935,3.2,0.59,10.6,6,6.557438524
3312,6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,7,8.185352772
4198,6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8,5,5.830951895
1717,7,0.21,0.31,6,0.046,29,108,0.9939,3.26,0.5,10.8,6,5.385164807
777,8.3,0.14,0.45,1.5,0.039,18,98,0.99215,3.02,0.56,11,6,4.242640687
3292,5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8,4.582575695
3376,7.8,0.22,0.26,9,0.047,38,132,0.997,3.25,0.53,10.2,6,6.164414003
2849,6.6,0.31,0.07,1.5,0.033,55,144,0.99208,3.16,0.42,10,5,7.416198487
4603,6.4,0.17,0.34,13.4,0.044,45,139,0.99752,3.06,0.43,9.1,6,6.708203932
3813,7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5,4.582575695
1020,8.3,0.14,0.26,1.5,0.049,56,189,0.9946,3.21,0.62,9.5,6,7.483314774
3033,6.7,0.14,0.46,1.6,0.036,15,92,0.99264,3.37,0.49,10.9,5,3.872983346
156,7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,6.92820323
2539,5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6,5.477225575
3405,5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2,6,3
591,7.1,0.31,0.5,14.5,0.059,6,148,0.9983,2.94,0.44,9.1,5,2.449489743
1904,7.8,0.34,0.27,1.2,0.04,25,106,0.9932,3.01,0.55,10.4,5,5
635,6.1,0.17,0.28,4.5,0.033,46,150,0.9933,3.43,0.49,10.9,6,6.782329983
2111,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,6.633249581
3551,7.2,0.14,0.32,1.1,0.022,48,116,0.99218,3.04,0.67,10,6,6.92820323
640,5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3,5,7
2588,5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,6,3.872983346
1770,7.7,0.43,0.28,4.5,0.046,33,102,0.9918,3.16,0.56,12.2,7,5.744562647
2707,7.5,0.28,0.39,10.2,0.045,59,209,0.9972,3.16,0.63,9.6,6,7.681145748
4796,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7,6.633249581
4773,6.4,0.28,0.45,8.6,0.057,47,223,0.99654,3.16,0.51,9.1,5,6.8556546
991,8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,6,6.403124237
1617,6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,6,7.810249676
3439,6.7,0.3,0.44,18.5,0.057,65,224,0.99956,3.11,0.53,9.1,5,8.062257748
625,6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3,5,5.196152423
1850,7,0.24,0.25,1.7,0.042,48,189,0.992,3.25,0.42,11.4,6,6.92820323
994,7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4,3
1338,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5,6.32455532
4258,5.8,0.32,0.23,1.5,0.033,39,121,0.9887,2.96,0.35,12,5,6.244997998
2718,6.8,0.16,0.29,10.4,0.046,59,143,0.99518,3.2,0.4,10.8,6,7.681145748
4012,6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7,6.08276253
3273,7.5,0.22,0.32,2.4,0.045,29,100,0.99135,3.08,0.6,11.3,7,5.385164807
1993,7,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,5,4.123105626
4226,6.2,0.345,0.27,10.1,0.056,38,187,0.99486,3.31,0.56,10.6,5,6.164414003
3554,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,6.244997998
4176,6.9,0.35,0.39,2.4,0.048,25,157,0.99133,3.2,0.54,11.1,7,5
2447,6.6,0.32,0.33,2.5,0.052,40,210,0.99316,3.15,0.6,10,5,6.32455532
2449,6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,6,4.358898944
1291,8.4,0.16,0.33,1.5,0.033,16,98,0.994,3.14,0.42,9.7,6,4
4709,7.2,0.33,0.28,1.4,0.034,26,109,0.99246,3.28,0.57,10.6,6,5.099019514
4872,5,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,6,4.472135955
3817,6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,5,5.291502622
3010,6.5,0.2,0.5,18.1,0.054,50,221,0.99941,2.94,0.64,8.8,6,7.071067812
129,6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7,6.8556546
4865,6,0.41,0.23,1.1,0.066,22,148,0.99266,3.3,0.47,9.633333333,5,4.69041576
2830,7.1,0.26,0.32,16.2,0.044,31,170,0.99644,3.17,0.37,11.2,5,5.567764363
2803,5.6,0.15,0.31,5.3,0.038,8,79,0.9923,3.3,0.39,10.5,6,2.828427125
2603,6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6,7.483314774
506,7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6,6.782329983
4749,6.1,0.34,0.24,18.35,0.05,33,184,0.99943,3.12,0.61,9.3,5,5.744562647
2245,7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5,5.916079783
62,6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,7.071067812
3796,6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,6,5.385164807
2568,6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5,6.244997998
2909,6.2,0.2,0.31,1,0.031,22,73,0.99035,3.24,0.52,11.3,6,4.69041576
4484,5.8,0.28,0.18,1.2,0.058,7,108,0.99288,3.23,0.58,9.55,4,2.645751311
476,7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5,5,7.416198487
2994,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7,5.385164807
3503,6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,5,5.477225575
2188,6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5,3.605551275
2622,6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5,5.385164807
2148,6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6,5,4.472135955
1430,6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5,4.242640687
2438,8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10,6,5.830951895
1056,8.6,0.26,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10,5,5.385164807
4667,6.4,0.31,0.53,8.8,0.057,36,221,0.99642,3.17,0.44,9.1,5,6
2136,7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5,6.403124237
655,6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4,7,8.366600265
4440,7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5,3.741657387
1123,6.6,0.25,0.39,1.45,0.04,40,89,0.9911,3.35,0.4,11.4,7,6.32455532
4511,6.8,0.33,0.3,2.1,0.047,35,147,0.9886,3.24,0.56,13.4,6,5.916079783
3180,8.5,0.2,0.4,1.1,0.046,31,106,0.99194,3,0.35,10.5,4,5.567764363
648,7.4,0.105,0.34,12.2,0.05,57,146,0.9973,3.16,0.37,9,6,7.549834435
3763,7.4,0.2,0.35,6.1,0.025,10,40,0.99244,2.79,0.52,10.9,5,3.16227766
4704,5.9,0.12,0.28,1.4,0.037,36,83,0.99074,3.33,0.42,10.9,7,6
386,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7,4.242640687
4358,5.9,0.28,0.34,3.6,0.04,50,194,0.9912,3.31,0.52,11.6,6,7.071067812
643,6.3,0.21,0.33,13.9,0.046,68,179,0.9971,3.36,0.5,10.4,6,8.246211251
4101,6.3,0.29,0.23,14.2,0.037,24,99,0.99528,3.08,0.38,10.6,6,4.898979486
3443,5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8,7,3.741657387
4423,6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,6,4.898979486
4265,5.8,0.2,0.16,1.4,0.042,44,99,0.98912,3.23,0.37,12.2,6,6.633249581
3379,6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,8,7.483314774
3759,6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5,4.898979486
3317,5.8,0.18,0.37,1.1,0.036,31,96,0.98942,3.16,0.48,12,6,5.567764363
1916,7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7,5.099019514
4849,7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6,8.185352772
2757,8.6,0.33,0.34,11.8,0.059,42,240,0.99882,3.17,0.52,10,6,6.480740698
4241,6.5,0.26,0.24,10.8,0.042,47,130,0.996,3.08,0.4,10.1,6,6.8556546
3034,6.8,0.24,0.38,8.3,0.045,50,185,0.99578,3.15,0.5,9.5,6,7.071067812
2013,6.8,0.18,0.46,1.4,0.064,37,160,0.9924,3.37,0.45,11.1,5,6.08276253
2637,7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5,6.32455532
3745,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,5.385164807
4599,6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,6,4.472135955
2612,6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5,7.810249676
3719,6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,5,4.795831523
1615,8,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,5,6.32455532
2735,7.1,0.29,0.28,9.3,0.048,50,141,0.9949,3.13,0.49,10.3,6,7.071067812
629,7,0.32,0.24,6.2,0.048,31,228,0.9957,3.23,0.62,9.4,6,5.567764363
1928,7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,5,6.782329983
4815,5.7,0.4,0.35,5.1,0.026,17,113,0.99052,3.18,0.67,12.4,6,4.123105626
2172,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,6.964194139
4554,5.7,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6,6
2071,7.3,0.34,0.3,1.3,0.057,25,173,0.9948,3.26,0.51,9.1,6,5
2299,6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,8,4.795831523
4725,6.1,0.32,0.33,10.7,0.036,27,98,0.99521,3.34,0.52,10.2,6,5.196152423
2613,6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7,6.08276253
2376,7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,6,6.403124237
1087,5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8,4.582575695
1388,6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6,3.872983346
1721,7.6,0.2,0.39,2.6,0.044,30,180,0.9941,3.46,0.44,10.8,7,5.477225575
3966,7.3,0.38,0.23,6.5,0.05,18,102,0.99304,3.1,0.55,11.2,4,4.242640687
3552,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,6.244997998
4098,6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,6,4.582575695
3810,7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,6,4
4252,7,0.24,0.24,1.8,0.047,29,91,0.99251,3.3,0.43,9.9,6,5.385164807
2969,8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,5,7.211102551
215,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7,5.916079783
1620,6.2,0.22,0.49,6,0.029,31,128,0.9928,3.41,0.36,11.3,8,5.567764363
985,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,7.937253933
2364,6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5,6.633249581
2459,7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6,6.8556546
1306,7.9,0.14,0.45,1.8,0.05,17,114,0.9948,3.33,0.49,10.7,7,4.123105626
3490,6.7,0.28,0.31,7.4,0.041,7,81,0.99254,3.04,0.47,11.4,8,2.645751311
733,8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,7,3.741657387
4739,5.5,0.3,0.25,1.9,0.029,33,118,0.98972,3.36,0.66,12.5,6,5.744562647
3665,5,0.29,0.54,5.7,0.035,54,155,0.98976,3.27,0.34,12.9,8,7.348469228
3475,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6,6
2753,7.1,0.43,0.3,6.6,0.025,15,138,0.99126,3.18,0.46,12.6,6,3.872983346
4744,6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5,7.937253933
1752,6.7,0.16,0.28,2.5,0.046,40,153,0.9921,3.38,0.51,11.4,7,6.32455532
4833,5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7,5,4.123105626
1290,6.6,0.16,0.3,1.6,0.034,15,78,0.992,3.38,0.44,11.2,6,3.872983346
1359,6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12,8,5.916079783
302,8.3,0.2,0.35,0.9,0.05,12,74,0.992,3.13,0.38,10.5,6,3.464101615
3220,6.2,0.35,0.31,2.6,0.036,37,92,0.98938,3.27,0.53,12.8,7,6.08276253
165,6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,5,8
250,6.1,0.41,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10,5,4.242640687
3830,7.1,0.44,0.23,5.8,0.035,24,100,0.99062,3.15,0.57,13.2,7,4.898979486
4565,7,0.23,0.35,1.4,0.036,31,113,0.9912,3.16,0.48,10.8,7,5.567764363
383,7.5,0.35,0.28,9.6,0.051,26,157,0.9969,3.12,0.53,9.2,6,5.099019514
2098,6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5,5.567764363
133,6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,5,7.681145748
2009,7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5,4.582575695
2956,7.4,0.35,0.24,6,0.042,28,123,0.99304,3.14,0.44,11.3,5,5.291502622
2237,7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5,6.92820323
3198,7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,6,6.8556546
